datetime,occcount,occrate,occcount1week,occcountdiff,occcountdiff1week,occrate1week,occratediff,occratediff1week,course_number,test,registered,lecture,tutorium,exam,VO,UE,KS,VL,IK,KV,UV,RE,VU,hod1,hod2,dow1,dow2,week1,week2
2024-04-08 00:00:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 00:15:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06540312923014306,0.9978589232386035,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 00:30:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13052619222005157,0.9914448613738104,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 00:45:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19509032201612825,0.9807852804032304,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 01:00:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25881904510252074,0.9659258262890683,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 01:15:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3214394653031616,0.9469301294951057,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 01:30:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3826834323650898,0.9238795325112867,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 01:45:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4422886902190013,0.8968727415326883,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 02:00:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49999999999999994,0.8660254037844387,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 02:15:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5555702330196022,0.8314696123025452,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 02:30:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6087614290087207,0.7933533402912352,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 02:45:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6593458151000688,0.7518398074789774,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 03:00:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7071067811865475,0.7071067811865476,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 03:15:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7518398074789773,0.659345815100069,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 03:30:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7933533402912352,0.6087614290087207,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 03:45:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8314696123025452,0.5555702330196023,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 04:00:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 04:15:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8968727415326884,0.44228869021900125,0.0,1.0,0.9709418174260521,-0.2393156642875575
