datetime,occcount,occrate,occcount1week,occcountdiff,occcountdiff1week,occrate1week,occratediff,occratediff1week,course_number,test,registered,lecture,tutorium,exam,VO,UE,KS,VL,IK,KV,UV,RE,VU,hod1,hod2,dow1,dow2,week1,week2
2024-05-14 18:00:00,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-0.012195121951219513,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0.6631226582407952,-0.7485107481711012
2024-05-14 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9914448613738105,0.13052619222005127,0.7818314824680298,0.6234898018587336,0.6631226582407952,-0.7485107481711012
2024-05-14 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,0.6631226582407952,-0.7485107481711012
2024-05-14 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9238795325112866,0.38268343236509,0.7818314824680298,0.6234898018587336,0.6631226582407952,-0.7485107481711012
2024-05-14 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.6631226582407952,-0.7485107481711012
2024-05-14 20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7933533402912352,0.6087614290087205,0.7818314824680298,0.6234898018587336,0.6631226582407952,-0.7485107481711012
2024-05-14 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,0.6631226582407952,-0.7485107481711012
2024-05-14 21:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6087614290087209,0.7933533402912349,0.7818314824680298,0.6234898018587336,0.6631226582407952,-0.7485107481711012
2024-05-14 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,0.6631226582407952,-0.7485107481711012
2024-05-14 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3826834323650904,0.9238795325112865,0.7818314824680298,0.6234898018587336,0.6631226582407952,-0.7485107481711012
2024-05-14 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2588190451025207,0.9659258262890683,0.7818314824680298,0.6234898018587336,0.6631226582407952,-0.7485107481711012
2024-05-14 23:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13052619222005168,0.9914448613738104,0.7818314824680298,0.6234898018587336,0.6631226582407952,-0.7485107481711012
2024-05-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,0.6631226582407952,-0.7485107481711012
2024-05-15 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13052619222005157,0.9914448613738104,0.9749279121818236,-0.22252093395631434,0.6631226582407952,-0.7485107481711012
2024-05-15 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.6631226582407952,-0.7485107481711012
2024-05-15 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3826834323650898,0.9238795325112867,0.9749279121818236,-0.22252093395631434,0.6631226582407952,-0.7485107481711012
2024-05-15 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.6631226582407952,-0.7485107481711012
2024-05-15 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6087614290087207,0.7933533402912352,0.9749279121818236,-0.22252093395631434,0.6631226582407952,-0.7485107481711012
2024-05-15 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.22252093395631434,0.6631226582407952,-0.7485107481711012
2024-05-15 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7933533402912352,0.6087614290087207,0.9749279121818236,-0.22252093395631434,0.6631226582407952,-0.7485107481711012
2024-05-15 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.6631226582407952,-0.7485107481711012
2024-05-15 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9238795325112867,0.38268343236508984,0.9749279121818236,-0.22252093395631434,0.6631226582407952,-0.7485107481711012
2024-05-15 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,0.6631226582407952,-0.7485107481711012
2024-05-15 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9914448613738104,0.1305261922200517,0.9749279121818236,-0.22252093395631434,0.6631226582407952,-0.7485107481711012
