people_in,date,time,room,start_time,end_time,first,last
37,10.4.,9:43,HS 18,830,1000,1,0
20,18.4.,11:31,HS 19,1015,1145,0,0
15,18.4.,14:28,HS 18,1345,1515,0,0
24,14.5.,9:28,HS 19,830,1000,1,0
43,14.5.,9:38,HS 18,830,1000,1,0
8,14.5.,14:15,HS 18,1345,1515,0,0
15,14.5.,15:48,HS 19,1530,1700,0,1
17,14.5.,15:48,HS 18,1530,1700,0,1
15,16.5.,10:45,HS 19,1015,1145,0,0
31,16.5.,10:47,HS 18,1015,1145,0,0
5,16.5.,13:01,HS 18,1200,1330,0,0
28,16.5.,16:25,HS 19,1530,1700,0,0
10,23.5.,12:10,HS 18,1200,1330,0,0
31,23.5.,14:41,HS 19,1430,1515,0,0
13,23.5.,14:42,HS 18,1345,1515,0,0
26,23.5.,16:50,HS 19,1530,1700,0,0
